Title,Company,City,Country,Type,Seniority,Posted,Collected Date,Applicants,Employees,Industry,Job URL,Job ID,Job Description
"Data Analyst Intern
Data Analyst Intern",Foxintelligence,Paris,France,On-site,Internship,N/A,2024-08-01,Over 100 applicants,51-200 employees,Market Research,https://www.linkedin.com/jobs/search/?currentJobId=3927615333&keywords=Data%20Analyst&location=European%20Union&refresh=true,3927615333,"""About the job
Chez Foxintelligence, nous sommes des amoureux de la data. 🤓

Notre mission est de rendre les consommateurs et les marques plus intelligents, grâce à une donnée de marché révolutionnaire issue de l'intelligence collective. Pour les consommateurs, Foxintelligence rend accessibles et utiles leurs données transactionnelles issues de leurs boîtes mail ou comptes bancaires. En les anonymisant, nous créons des statistiques uniques qui permettent aux marques de rester en phase avec les produits qui se vendent le mieux et les attentes des consommateurs.

Nous publions une application grand public aimée par des millions de personnes (Cleanfox, 15m+ de téléchargements, 4.8/5 💖 sur l'app store et le play store) et préparons le lancement d'une app de bilan carbone à l'expérience radicalement nouvelle. Grâce à notre plateforme data, elle va rendre possible une prise de conscience massive des enjeux du changement climatique 🌍 et des actions individuelles possibles pour le combattre. Nous pensons que l'information est une force de changement puissante, lorsqu'elle s'appuie sur la data.

Utilisant ces données personnelles totalement anonymisées, notre plateforme SaaS foxintelligence.io est devenue la référence de la market intelligence digitale en Europe avec des dizaines de grands groupes clients. Le point commun entre Deliveroo, Just Eat, Mano Mano, BackMarket ou The Boston Consulting Group ? Ils vont très vite (on ne s'ennuie pas avec eux !) et ils nous font tous confiance !

Soutenus par des investisseurs de premier plan (17m levés auprès de Daphni, Partech, GFC et eFounders) et récemment intégré au groupe NielsenIQ nous sommes maintenant à la conquête de l'Europe et en phase d'hyper-croissance.

Si notre FoxHQ reste à Paris, notre équipe de plus de 140 talents pluridisciplinaires (tech, data et business) travaille depuis partout en France et même en dehors (ex. Turquie). Nous pensons que notre politique remote-first, notre culture forte (bienveillance, exigence, résilience et data-first) et notre innovation permanente en termes de modes de travail (ex. grille de salaire transparente, formation au changement climatique, transparence sur la stratégie) sont les clés de notre réussite collective.... et de ta réussite avec nous !

Job Description

Foxintelligence recherche un(e) stagiaire Data Analyst.

Tu seras rattaché(e) à l'équipe Data Management et tu interviendras au niveau de l'enrichissement de la donnée. Cet enrichissement rend possible l'analyse de la donnée par nos équipes analytics et nos clients. Ton rôle sera de garantir que les champs enrichis aient le niveau de completion et de qualité attendues sur l'ensemble de nos industries (e-commerce, food delivery etc.) et territoires couverts (7 pays européens, ainsi que l'Inde).

Tes responsabilités au quotidien :

 Analyses : Faire des analyses approfondies sur une variété d'enrichissements comme l'âge des consommateurs ou la géolocalisation des commandes. Remettre en question ces enrichissements, identifier les améliorations nécessaires et aider à construire la roadmap qui nous permettra de scaler à l'international
 Qualité des données : Etre responsable d'une partie de la roadmap d'enrichissements, garantir la qualité de ces enrichissements et leur disponibilité à la date attendue. Travailler main dans la main avec les équipes commerciales pour répondre à leurs besoins avec les données les plus pertinentes
 Automatisation & Scale : Construire des outils de productivité à destination de ton équipe pour permettre de gagner en efficacité (définition de process transverses, automatisation de tâches avec Python, mise à disposition de dashboards Tableau/Looker d'investigations etc...)
 Projets stratégiques : Participer à des initiatives majeures et à fort potentiel pour Fox sur le plan Data. A titre d'exemple, deux de nos challenges actuels sont l'intégration avec NielsenIQ pour rendre possibles des analyses omnicanales (online/offline) et l'ouverture de plusieurs nouveaux marchés simultanément


Requirements

Compétences nécessaires (ce qu'il te faut pour réussir sur ce poste) :

Soft Skills

Tu sais résoudre des problèmes complexes en appliquant un raisonnement structuré basé sur la data
Tu aimes les challenges et as envie d'apprendre dans un environnement en hyper croissance
Tu es proactif(ve) et cherches à optimiser des process, pour être toujours plus efficace


Hard Skills

Tu maîtrises un ou plusieurs langages de programmation (SQL est un plus)
Tu sais manipuler de larges bases de données
Tu as déjà utilisé des outils de data visualization


Compétences bonus

Tu as une première expérience en data dans des startups/boites tech ou au sein d'une société de conseil
Tu es familier des problématiques business du e-commerce
Tu maitrises de Tableau, Github, Regex


Ladies

Les études montrent que les femmes ont moins tendance à postuler à une offre d'emploi quand elles n'ont pas toutes les qualifications requises. Ladies, ne vous mettez pas de barrière et donnez-nous la chance de nous faire notre propre avis, nous serons toujours ravis d'échanger avec vous ! Si notre raison d'être vous parle, postulez !

Self-made data lovers

Les diplômes c'est bien, les skills c'est mieux et l'expérience t'en donne. Aucun diplôme n'est requis chez nous, c'est les compétences et l'énergie qui comptent !

Recruitment process

 Round 0 : entretien (fit) avec un membre notre équipe HR 
 Round 1 : entretien (expérience et fit) avec un(e) Senior Data Analyst de l'équipe
 Round 2 : test technique
 Decision Round : entretien avec notre Lead Data Analyst


Benefits

Avantages/ce que nous offrons

Rémunération Compétitive
Remote friendly (+ budget aménagement de l'espace de travail @Home)
Carte ticket restaurants (Swile) pris en charge à 60% par Fox
Culture forte et pratiques de management à la pointe (stratégie et résultats financiers transparents, feedback 360, grille de salaire innovante et transparente etc"""
"Stage Energy Data Analyst
Stage Energy Data Analyst with verification",GazelEnergie,Courbevoie,France,On-site,Internship,N/A,2024-08-01,Over 100 applicants,201-500 employees,Oil and Gas,https://www.linkedin.com/jobs/search/?currentJobId=3970116525&keywords=Data%20Analyst&location=European%20Union&refresh=true,3970116525,"""About the job
Missions : 

Stage de Energy Data Analyst au sein de la direction Energy Management, rattaché(e) au responsable de l’équipe Data & Analytics, vos missions seront les suivantes :
Assurer les tâches opérationnelles quotidiennes et hebdomadaires : Fournir des rapports quotidiens et hebdomadaires de suivi des données de production (centrales thermiques, éolien, solaire…) et de consommation du portefeuille Gazel ;
Participer à la création de bilans pour le suivi des données du responsable d’équilibre Gazel;
Echanger avec les gestionnaires de réseaux et régies locales (ENEDIS, RTE, …) sur les manques de données et la gestion des flux ;
Réaliser des études et analyses ponctuelles (SQL, Python ou R).
Etude de certains mécanismes réglementaires relatifs au marché de l’énergie (ARENH, mécanisme des écarts etc.)


Qualifications :

Formation : BAC + 5 (Ecole de Commerce / Université / Ecole d’ingénieur).
Expérience requise : sensibilité au secteur de l’énergie ou à l’analyse de données
Compétences techniques : Capacités analytiques / connaissance d’un langage de programmation : VBA, SQL, R ou python (même débutant)
Aptitudes : Rigueur / Goût pour le travail en équipe / Esprit d’analyse et de synthèse / Curiosité pour le secteur de l’énergie.


Conditions générales :


Stage de 6 mois
Début : A partir de septembre 
Poste à Courbevoie (2 rue Berthelot Courbevoie Immeuble Youfirst)
Gratification selon grille interne en vigueur
Prise en charge du Pass Navigo à 100% - Prise en charge des frais d’admission au restaurant d’entreprise - Accès à la conciergerie.
Poste ouvert aux personnes handicapées


GazelEnergie recrute et reconnait tous les talents, en s’attachant à respecter la mixité et la diversité. Conformément au règlement général européen sur la protection des données, tout candidat dispose d'un droit d'accès, peut obtenir communication, rectification et/ou suppression des informations le concernant."""
"Data Analyst
Data Analyst",Pluxee,Paris,France,On-site,Mid-Senior level,N/A,2024-08-01,Over 100 applicants,"5,001-10,000 employees",Consumer Services,https://www.linkedin.com/jobs/search/?currentJobId=3973628894&keywords=Data%20Analyst&location=European%20Union&refresh=true,3973628894,"""About the job
Pluxee is a global player in employee benefits and engagement that operates in 31 countries. Pluxee helps companies attract, engage, and retain talent thanks to a broad range of solutions across Meal & Food, Wellbeing, Lifestyle, Reward & Recognition, and Public Benefits.

Powered by leading technology and more than 5,000 engaged team members, Pluxee acts as a trusted partner within a highly interconnected B2B2C ecosystem made up of more than 500,000 clients, 36 million consumers and 1.7 million merchants.

Conducting its business as a trusted partner for more than 45 years, Pluxee is committed to creating a positive impact on all its stakeholders, from driving business to local communities, to supporting wellbeing at work for employees while protecting the planet.

🚀 Your next challenge 

Pluxee Data organization has chosen a decentralized Data Hub (central) & Data Spoke (local) organization where the Spokes are data factory teams covering multiple countries' Data needs and supporting business teams by delivering operations reporting, the ad-hoc analysis supporting decision making and advanced insights aiming at predicting clients, merchants, or consumers behaviors.

To support this objective, your responsibilities will encompass:
Data Analysis and interpretation: collecting and analyzing data from various sources to identify trends and insights relevant for business improvement.
Visualization and reporting: developing clear and informative dashboards and reports using data visualization tools to effectively communicate findings to business teams.
Decision support: providing ad-hoc analyses and statistical modeling to assist business teams in making informed decisions and defining key performance indicators (KPIs) to measure progress.

🌟 You’re a match

Technical Skills:
5 years of experience as Data Analyst with at least 3 years in a permanent full time Data Analyst role. 
Experience supporting business areas in E2E Data Analysis and Visualization process, from gathering stakeholder´s requirements to data collection, cleaning, analysis, and dashboard, reporting, and KPIs design and delivery.
+3 years of work experience using SQL on daily basis.
+3 years of work experience with Data Visualization tools, with at least 2 years experience using Power BI and DAX with advanced proficiency and storytelling skills.
Knowledge of machine learning techniques, enabling advanced data analysis will be a plus Examples: Fraud detection, scoring, attrition.
Experience working with agile methodologies and tools such as Jira. 
Experience in finance or payment services companies will be a plus.
Excellent communication skills, oral and written, with the ability to interact with different types of stakeholders (technical, non-technical, C level).
Bilingual in French and Advanced level in English as will be working with Global teams.
Ability to work in a hybrid mode (3 days at the office and 2 days at home).

Soft Skills:
Effective communication: strong verbal and written communication skills in both French and English, adept at interacting with diverse stakeholders with varying cultural backgrounds and technical expertise.
Analytical thinking: highly analytical and detail-oriented, with a knack for problem-solving and extracting insights from complex datasets.
Proactive and motivated: proactive attitude, hands-on approach, and a high level of motivation to learn quickly and adapt to new challenges in an ever-moving domain.

🔎 To get this challenge
Videocall with Talent Acquisition Expert.
Videocall with the Hiring Manager (Data Spoke Manager).
Technical interview.

🏅 Your team
Reporting to Jean Francois Prince (Data Spoke Manager).

📍 Your Location
Central Paris, Paris.
Ability to work in a hybrid mode (3 days at the office and 2 days at home).

☀️ Happy at work
A meaningful job: build the future of employee benefits and contribute to the quality of life at work for others, you will impact positively local communities too. It counts!
A great culture: we respect and care authentically about our people, we embrace work-life balance, new ideas and we have a lot of fun!
Employee experience is what we do. So, you can expect a comprehensive package including benefits and an annual bonus based on performance.

About Pluxee
Working at Pluxee is joining a multicultural team that moves as one. It’s also a place where your individual ideas, perspectives, and input count. You’ll be given the freedom and autonomy you need to do impactful work, supported by a team that cares about your well-being, growth, and work/life balance.
It’s the agility you’d expect from a fast-growing small business, with the stability that only a globally renowned company with +45 years in the business can offer. Put a part of yourself into the future of employee benefits and meaningfully contribute to lives and communities worldwide."""
"Data Analyst Python (H/F)
Data Analyst Python (H/F) with verification",Technology & Strategy,Paris,France,On-site,Associate,N/A,2024-08-01,Over 100 applicants,"1,001-5,000 employees",IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3984913508&keywords=Data%20Analyst&location=European%20Union&refresh=true,3984913508,"""About the job
Découvrez Novencia :
Expert en Data et Intelligence Artificielle, nous aidons nos clients à exploiter et à valoriser leurs données sous toutes ses formes en les accompagnant sur des projets de Data Analyse, Data Gourvernance, Data Architecture, Data Science, et Data Engineering…

Vous avez une solide expérience de minimum 4 ans sur Python et vous êtes à la recherche de nouveaux défis ? La suite pourrait donc vous intéresser !

Nous recherchons un Data Analyst Python (H/F)* talentueux et motivé pour rejoindre notre équipe dynamique. Le candidat idéal aura une solide expérience en analyse de données et une maîtrise des outils et bibliothèques Python. Vous travaillerez en étroite collaboration avec diverses équipes pour fournir des analyses pertinentes et soutenir la prise de décisions stratégiques.

Type de contrat : CDI
Lieu : Paris

Responsabilités :

- Collecter, nettoyer et analyser des ensembles de données complexes.
- Utiliser Python pour développer des modèles statistiques et des rapports analytiques.
- Collaborer avec les équipes internes pour identifier les besoins en données et fournir des solutions analytiques.
- Créer des tableaux de bord et des visualisations pour communiquer les résultats aux parties prenantes.
- Assurer la qualité et l'intégrité des données.
- Participer à l'amélioration continue des processus d'analyse de données.

Compétences et Qualifications :

- Diplôme en statistiques, mathématiques, informatique, économie ou dans un domaine connexe.
- Minimum de 4 années d'expérience en tant que Data Analyst.
- Expertise en programmation Python et en utilisation des bibliothèques de données (pandas, NumPy, scikit-learn, etc.).
- Solide compréhension des concepts statistiques et des méthodes d'analyse.
- Compétence en gestion et manipulation de grandes bases de données.
- Excellentes compétences en communication et en présentation.
- Capacité à travailler de manière autonome et en équipe.
- Expérience avec des outils de visualisation de données (Tableau, Power BI ou autre) est un plus.

Notre objectif commun est de co-construire votre carrière en fonction de vos aspirations et de vos compétences.
Contactez-moi en message privé ou par mail au s.ziki@technologyandstrategy.com !

Let's make it possible #together

*Nos postes sont ouverts aux personnes bénéficiant d’une Reconnaissance de la Qualité de Travailleur Handicapé (RQTH). T&S Groupe encourage la diversité et l’égalité sur le lieu de travail. Tous les candidats qualifiés H/F/* sont pris en considération pour un emploi sur un même pied d'égalité."""
"Data Analyst
Data Analyst",Orbis Group,Eindhoven Area (Hybrid),N/A,On-site,Mid-Senior level,11 hours ago,2024-08-01,45 applicants,51-200 employees,Staffing and Recruiting,https://www.linkedin.com/jobs/search/?currentJobId=3989622095&keywords=Data%20Analyst&location=European%20Union&refresh=true,3989622095,"""About the job
Data Analyst - Eindhoven (Hybrid) - Freelance: 9 month contract + extensions

Orbis have been retained by a global cybersecurity business in Eindhoven who require a Senior Data Analyst to join them on a freelance basis.

This is an initial 9-month extendable freelance opportunity (with strong likelihood of extension and/or the opportunity to join them permanently). The focus here is on finding a data analyst with networking knowledge (no hands-on experience needed) and strong technical skills in SQL and Python. You should be able to:

Write fully functional scripts in Python and be proficient in SQL.
Posses strong Python skills, algorithmic thinking, ml knowledge and data science can substitute for networking knowledge.
Strong networking knowledge to understand specific networking behaviours and their outcomes. Practical experience is not required.
Experience with IoT, OT or IoMT/Medical Device software and technologies is a plus.

Rates are negotiable depending upon experience.
You would be required to be onsite twice/week in Eindhoven."""
"Data Analyst
Data Analyst with verification",Capitole,South Holland,Netherlands,On-site,Mid-Senior level,12 hours ago,2024-08-01,Over 100 applicants,"501-1,000 employees",IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3989593744&keywords=Data%20Analyst&location=European%20Union&refresh=true,3989593744,"""About the job
🔵 Capitole is still growing and we want to do it with you! 🚀

We are looking for an experienced Data Analyst responsible to create reports and provide insights into our portfolio. You will analyze how much capacity is being utilized and make clear the phases in which projects are. Additionally, your tasks will include delivering an overview of data processes and contributing to uniformity for the Portfolio Managers.


🤖 Responsabilities and requirements:

Analyze capacity utilization, Clarify project phases, Deliver data process overviews, standardize for Portfolio Managers, Align supply and demand using S&OP.
Ensure correct data in the Business Project unit, perform independent data analyses, resolve issues by liaising with the business.
Communicate across organizational layers, collaborate with the Analysis and Reporting Team, foster support for high-quality data delivery and use.
Transform ad-hoc data issues into structural solutions, standardize data processes for Portfolio Management, propose improvements from analyses, clarify the data landscape for Portfolio Management.
Link systems based on data models, automate portfolio consolidation, build mechanisms to ensure data quality.


🛠️ Technical Requirements:
Completed education at a university level or higher professional education with conceptual thinking ability.
At least 3-5 years in projects requiring collaboration with various organizational units and management levels.
Preferably, experience in an organization with many stakeholders and a complex data landscape.
Familiarity with PowerBI and PowerQuery, ability to quickly master a data landscape, experience with a grid operator (preferred), experience with SAP (preferred).
Strong analytical insight, good with numbers, ability to distinguish between main and side issues, convert data into information for process proposals at operational and tactical levels.


🎉 Why Capitole?
🤝 Our employees come first. We believe in a different, more human model, placing people at the center of our company.
📜 Permanent contract
💵 Competitive salary range: 4000-6000 €
🌴 Holiday allowance
🚗 Mobility allowance (depending on seniority)
🎁 Bonus: 10% on top of the year salary
📚 Training budget: 1200 € per year
💼 Pension scheme contribution
💻 IT supplies
🏠💼 Hybrid working (1 time per week on Wednesday)
💼 Work 4 days per week

Don't know us yet? Discover us!!
https://capitole-consulting.com/

Don't hesitate to send us your profile, we are looking forward to meeting you! ☎📩"""
"Data Analyst
Data Analyst",Menhir AI,Pozuelo de Alarcón,Spain,On-site,Associate,N/A,2024-08-01,36 applicants,11-50 employees,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3977248657&keywords=Data%20Analyst&location=European%20Union&refresh=true,3977248657,"""About the job
Menhir Financial es una compañía que aplica la Inteligencia Artificial para optimizar procesos y mejorar resultados, con el objetivo último de transformar las organizaciones con las que trabajamos.

Estamos construyendo la próxima generación de tecnología en varios sectores, de la mano de los mejores players de cada mercado. Entre ellos se encuentran instituciones financieras de primer nivel, gigantes inmobiliarios o empresas multinacionales.

Por ello, estamos buscando un Data Analyst con ganas de colaborar en el análisis de datos y en la generación de insights que impulsen nuestras soluciones de IA, que pueda crecer personal y profesionalmente a la par que lo hace la compañía.

Te enfrentarás a desafíos interesantes y tendrás un profundo impacto en la toma de decisiones basadas en datos. Trabajarás en un entorno ágil, con profesionales increíbles que creen en nuestra misión. Buscamos un apasionado de los datos que disfrute analizando y descubriendo patrones significativos.

Tasks

🚀 El trabajo:

Analizarás y transformarás datos complejos en información útil y accionable para la toma de decisiones estratégicas.
Desarrollarás y mantendrás dashboards e informes que faciliten la visualización y comprensión de los datos.
Colaborarás estrechamente con equipos multifuncionales para identificar necesidades de análisis de datos y proponer soluciones basadas en datos.
Participarás en proyectos de diversos sectores, proporcionando insights que impulsen el impacto económico en nuestros clientes.


Requirements

🧠 Requisitos:

+1 año de experiencia como Data Analyst o en un rol similar.
Conocimiento avanzado en análisis de datos y herramientas de visualización, especialmente Streamlit y PowerBI.
Fuerte habilidad en el uso de SQL para consulta y análisis de datos, con experiencia en PostgreSQL.
Experiencia en el manejo de grandes conjuntos de datos y en el uso de herramientas estadísticas con Python
Familiaridad con metodologías de análisis predictivo y modelado de datos.
Conocimiento de herramientas de limpieza y transformación de datos.
Habilidades de comunicación para presentar hallazgos de manera clara y efectiva a diferentes audiencias.
Inglés.
Disponibilidad para asistir a la oficina en Madrid.


Valoraremos:

Experiencia en cloud (e.g., AWS, Google Cloud Platform).
Conocimiento de Kubernetes y contenedores.
Haber trabajado en entornos de startups de ritmo rápido.
Otros idiomas.


Benefits

📊 Beneficios:

Sueldo competitivo
Stock options
Flexibilidad horaria: nos importa que puedas conciliar tu vida laboral con la personal
El modelo de trabajo es semipresencial, se combina teletrabajo y presencialidad
Seguro de salud cubierto en su totalidad por Menhir
Entorno joven


En Menhir somos un equipo de apasionados de los datos con una voluntad firme de mejorar lo establecido por medio de la IA. ¿Te apuntas a formar parte del ecosistema Menhir?
Desired Skills and Experience
python

streamlit

databases

SQL

k8s"""
"Junior Data Analyst
Junior Data Analyst",Intale,Athens,Greece,On-site,Associate,N/A,2024-08-01,Over 100 applicants,11-50 employees,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3986942433&keywords=Data%20Analyst&location=European%20Union&refresh=true,3986942433,"""About the job
Intale is a VC backed retail-tech company that consists of gifted people that are not afraid to get their hands dirty.

Here we give superhero powers to small local retail stores, transforming them into a state-of-the-art, cutting-edge business. We have vowed to remove the slack and the fragmentation from offline retail. We achieve that through our platform that connects stores, distributors and retail manufacturers, creating a unique transparent marketplace.

Do you love helping businesses make data-driven decisions? Do you have a passion for analyzing data and finding trends?

Our team is expanding and we are looking to add a passionate Junior Data Analyst who who get his/her hands dirty with raw data, package it in meaningful ways and work with our key clients to deliver value adding actionable insights.

Your role will be to:

Develop a deep understanding our core data, structures and insight possibilities
Design categories and subcategories to slice and dice the data in meaningful ways
Ensure that the quality of the data is of the standards promised to our clients
Introduce the new products into our Universal Product database and set up the relevant processes and workflows
Extract the data and analyze it using a standard business intelligence tool


Requirements

You should have a genuine passion for data and data-driven decision making. Additionally:

Strong verbal and written communication skills (Greek/English)
Degree in statistics, math and/or computer science
Very good knowledge of MS SQL and/or MySQL
Very good knowledge of MS Excel
Experience in the use of business intelligence tools (e.g. Tableau) will be considered a plus
Expertise in Retail and/or FMCG Industry will be considered a plus
Flexibility in approach and innovative thinker


Benefits

Our people mean the world to us, and we only recruit the best. For the talents in our business, we offer great benefits and opportunities to develop with us.

Competitive package
Private health insurance plan
Training and advancement opportunities

Think you fit the bill? Tick the boxes, we need to talk."""
"Data Analyst Internship
Data Analyst Internship",Civitatis,Madrid,Spain,On-site,N/A,N/A,2024-08-01,Over 100 applicants,201-500 employees,Software Development,https://www.linkedin.com/jobs/search/?currentJobId=3979154672&keywords=Data%20Analyst&location=European%20Union&refresh=true,3979154672,"""About the job
¿Te apasionan los viajes , la cultura y el ocio y tienes ganas de participar en el crecimiento de la empresa Nº 1 en servicios turísticos en español?

Nuestro equipo no para de crecer y buscamos personas con talento e ilusión por desarrollarse. Somos un equipo joven, multicultural e innovador que entiende cada día como un desafío y una nueva oportunidad para crecer junto con la empresa.

Si quieres conquistar el mundo con nosotros, ¡te estamos esperando!

Buscamos una persona para unirse a nuestro Departamento de Producto como Data Analyst Intern en nuestras oficinas en Madrid.

Como Data Analyst Intern en Civitatis, trabajarás junto con el resto del equipo de datos transformando grandes volúmenes de datos en insights accionables que impulsen la toma de decisiones estratégicas en toda la organización. Durante la beca, trabajarás junto con una de nuestras data analysts, colaborando estrechamente con varios departamentos para optimizar las operaciones y mejorar la experiencia del cliente. Desde el primer día, tu rol será clave para garantizar que Civitatis continúe siendo líder en el mercado de actividades turísticas, utilizando el análisis de datos para innovar y superar las expectativas de nuestros viajeros.

¿Cómo será tu día a día?

Desarrollar y mantener dashboards y reportes que proporcionen insights clave a diferentes áreas de negocio.
Analizar grandes conjuntos de datos para identificar tendencias, anomalías y oportunidades de mejora en el negocio.
Colaborar con el equipo de Data Science para implementar modelos predictivos y prescriptivos que mejoren la toma de decisiones.
Realizar análisis ad hoc para responder a preguntas específicas de los stakeholders.
Trabajar en estrecha colaboración con el equipo de IT para asegurar la calidad y accesibilidad de los datos.
Proponer y ejecutar mejoras en los procesos de recopilación y análisis de datos.
Participar en proyectos interdepartamentales para promover una cultura data-driven en la organización.
Asesorar a los equipos de marketing, ventas y operaciones sobre la interpretación y aplicación de los análisis de datos.


¿Qué buscamos?

Título universitario en Estadística, Matemáticas, Informática o campo relacionado.
Conocimientos avanzados en SQL, Python
Experiencia con herramientas de BI como PowerBI o Tableau.
Experiencia trabajando con grandes bases de datos y sistemas de almacenamiento de datos.
Curiosidad y muchas ganas de aprender cosas nuevas
Fuerte capacidad para traducir análisis complejos en recomendaciones claras y accionables
Inglés B2


¿Por qué Civitatis?

Formarás parte del líder mundial de reserva online de excursiones y visitas guiadas en español.
Espíritu joven, viajero y gran ambiente de trabajo. ¡20 nacionalidades!
Eventos de teambuilding (desayunos, “first thursday”, padel, senderismo, actividades deportivas, etc.).
¡Equipo sano, equipo feliz! Tenemos fruta siempre a mano y clases de yoga gratuitas.
Podrás disfrutar de nuestras más de 90.000 actividades con un super descuento.


¿Te sumas ?"""
"SQL Data Analyst
SQL Data Analyst",Dabster,Barcelona,Spain,On-site,N/A,7 hours ago,2024-08-01,40 applicants,51-200 employees,IT Services and IT Consulting,https://www.linkedin.com/jobs/search/?currentJobId=3988339035&keywords=Data%20Analyst&location=European%20Union&refresh=true,3988339035,"""About the job
As an SQL Data Analyst/Developer, you will be responsible for designing, developing, and maintaining SQL-based data solutions to support our business intelligence and data analytics initiatives. This role requires a strong understanding of SQL Server technologies, data integration tools, and reporting/analytics platforms.

The key elements resource should have:

 SQL Development: Design, develop, and optimize SQL queries, stored procedures, and database objects to support reporting and data analysis requirements.

 Data Integration: Utilize SQL Server Integration Services (SSIS) to design and implement ETL processes for data extraction, transformation, and loading.

 Data Analysis: Develop and maintain SQL Server Analysis Services (SSAS) multidimensional and tabular models to enable complex data analysis and reporting.

 Reporting and Visualization: Create and manage Power BI dashboards and reports to provide actionable insights and support business decision-making.

 Data bricks: Leverage Data bricks for big data processing and analytics, integrating it with SQL-based solutions as needed.

 Data Modeling: Develop and maintain data models and schema designs to support reporting and analytics requirements.

 Performance Tuning: Monitor and optimize database performance to ensure efficient data processing and query execution.

 Collaboration: Work closely with business users and IT teams to gather requirements, troubleshoot issues, and deliver solutions that meet business needs.

 Documentation: Maintain comprehensive documentation of data processes, data models, and reporting solutions.


Technical Skills:

 SQL Server: Proficiency in SQL Server (2008 and above) including T-SQL, SSIS, and SSAS.

 Data Modeling: Experience with tabular models and multidimensional cube development in SSAS.

 Power BI: Expertise in designing and developing Power BI reports and dashboards.

 Data bricks: Familiarity with Data bricks for big data analytics and integration.

 Analytical Skills: Strong analytical and problem-solving abilities with attention to detail.

 Communication Skills: Excellent verbal and written communication skills with the ability to translate technical concepts to non-technical stakeholders.

 Project Management: Ability to manage multiple tasks and projects simultaneously, delivering high-quality results within deadlines"""
